      Phi             z    Detector    Traza
1.2604      -5.91609              3       97
1.27226     -7.52042              4       97
1.04482      3.94937              1       98
1.01496      9.6169               2       98
1.02806     15.2839               3       98
1.04536     20.9529               4       98
2.34854    -11.6322               1       99
2.35891    -19.6626               2       99
2.36475    -27.6925               3       99
2.34111    -35.7212               4       99
5.61428      5.28163              1      100
5.60445     10.0522               2      100
5.61557     14.8217               3      100
5.6244      19.5916               4      100
5.09655     16.851                3        0
5.85271      8.268                2        0
1.36335     -9.7834               2        0
3.91277    -17.4483               4        0
0.676183   -18.3707               4        0
0.355111     0.76619              1        0
4.4067      14.4861               4        0
5.5925      -4.85776              1        0
2.74908    -13.6825               4        0
5.80506      4.60407              1        0
3.7598      -3.25446              3        0
1.17243     -5.73165              1        0
0.421699   -11.0718               2        0
2.19513      5.98248              1        0
3.50582      0.6235               3        0
5.15348    -23.1395               4        0
4.25941      3.19228              2        0
4.9653      14.2014               3        0
3.18994      4.71273              4        0
0.721932    -4.08561              3        0
6.09302      2.52563              4        0
1.95056     -5.54263              2        0
3.80947      3.49423              4        0
4.84305     -8.57076              2        0
2.38432     13.4005               4        0
4.98175    -14.9988               3        0
6.0367      -8.1079               4        0
3.45408     -4.92332              2        0
2.15305     10.0622               2        0
1.72588      4.1774               3        0
4.6904       6.45755              2        0
2.93796      5.77243              1        0
4.47703     -6.49459              2        0
4.45269      4.43457              4        0
6.24217     -0.665425             1        0
1.50703      4.02783              1        0
3.88267      8.90695              3        0
4.52235    -10.147                2        0
4.47434     -7.11012              3        0
1.2586     -15.3056               4        0
